SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
NC[C@@H](C(=O)NC[C@H]1C[C@H]2CC[C@H]1C2)c1ccccc1,272.392,2.2813,0.8637424474162431,2,2,0
Cc1nc(N)sc1C(=O)NCCCOc1ncccn1,293.352,1.0226199999999999,0.7708155065580694,2,7,0
CC(C)CSCCCOC(=O)c1cnc(C(C)C)[nH]1,284.42499999999995,3.4692000000000016,0.5864161164856384,1,4,0
C[C@@H]1CN(C(=O)c2ncn(C)n2)C[C@@H]1CNC(=O)Cc1nc[nH]n1,332.368,-0.9997999999999971,0.7241366846002422,2,7,0
Cc1ccc(C(=O)N2CCS(=O)(=O)C[C@@H]2CC(=O)O)cn1,312.347,0.10391999999999973,0.8487485333619305,1,5,0
COCCOCCNC(=O)C(=O)N1C[C@H]2[C@H](C1)[C@H]1CC[C@H]2O1,312.3660000000001,-0.5985999999999985,0.5234928066832388,1,5,0
CCc1cccc(CN2CC=C(CNC(=O)c3ccon3)CC2)c1,325.4120000000001,2.799100000000001,0.8298552418491832,1,4,0
C[C@H](O)CN1CC[C@@H](N2CCN(C(=O)Cn3cnnc3O)CC2)C1,338.4120000000001,-1.4169999999999974,0.6800679826594694,2,8,0
C[C@H]1CCN(C(=O)c2ccc(O)nn2)C[C@@H]1NC(=O)c1cnn[nH]1,331.336,-0.41909999999999975,0.6943703636991018,3,7,0
C=C[C@](C)(O)CNc1sc(C(C)C)cc1C(=O)OCC,297.4200000000001,3.397100000000002,0.5980322256989223,2,5,0
CCc1ncoc1C(=O)NC[C@@H](NC(=O)c1ccco1)C(C)C,319.36100000000005,2.0143999999999997,0.8133939739052298,2,5,0
Cc1cc(C(=O)N2CC[C@H](NC(=O)c3cnns3)[C@H](O)C2)ncn1,348.3880000000001,-0.3580800000000002,0.776793919953575,2,8,0
C[C@H]1COCC[C@H]1C(=O)N(CCO)CCNC(=O)c1cn[nH]c1,324.381,-0.3669999999999977,0.6343522516296263,3,5,0
COCCOC[C@H](C)NC(=O)Nc1cccc2c(O)nccc12,319.36100000000005,2.1133999999999995,0.6797917346976439,3,5,0
O=C1CC[C@H](C(=O)N2C[C@@H](O)[C@H](NC(=O)CC(F)(F)F)C2)N1,323.271,-1.0946999999999987,0.6142431238231255,3,4,0
CN(CCCN(C)C(=O)C1CCCC1)C(=O)CCn1cccn1,320.43699999999995,1.770299999999999,0.7333257200275034,0,4,0
CCN(C(=O)c1cnc(C(=O)O)cn1)c1ccc2ccccc2c1,321.336,2.9947000000000017,0.798396311911804,1,4,0
C[C@H]1OCCN(C(=O)CS(=O)(=O)C2CC2)[C@H]1C,261.34299999999996,0.19940000000000024,0.7277798444036908,0,4,0
NC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]2O)N1C(=O)c1ccc(-c2ncc[nH]2)cc1,340.38300000000004,0.9159999999999996,0.7708335950249894,3,4,0
c1ccc([C@@H]2CN(C[C@@H]3CCCOC3)CCO2)cc1,261.3649999999999,2.4865000000000004,0.8341511272846709,0,3,0
CC[C@H](C)NC(=O)CN1CCN(S(=O)(=O)[C@H](C)COC)CC1,335.47000000000014,-0.11659999999999737,0.6691593011411692,1,5,0
CC(F)(F)C(=O)N[C@H]1CCN(C(=O)C2CC(F)(F)C2)C[C@H]1O,326.29,0.7648999999999999,0.7527141283189583,2,3,0
CNC(=O)[C@@H]1CCCN1Cc1c(F)cccc1Cl,270.735,2.1895,0.913189978728285,1,2,0
CNS(=O)(=O)c1ccc([C@H](C)NCc2cc(F)cc(F)c2)cc1,340.39500000000004,2.723700000000001,0.8500403685577042,2,3,0
C=CCN[C@H](C)[C@H]1CN(C(=O)CN2CCNC(=O)C2)CCO1,310.3980000000001,-1.1902999999999948,0.6036473214927396,2,5,0
Cn1nncc1S(=O)(=O)NCCc1ccc(F)cc1F,302.306,0.6143000000000003,0.8779023121423225,1,5,0
Cc1cccc([C@H]2CCCN2C(=O)Cc2cccc(N)c2)n1,295.386,2.87842,0.8857710194186663,1,3,0
CCn1ccc(CC(=O)NCC[C@@H](C)NC[C@@H]2CCCCO2)n1,322.4530000000001,1.4990000000000003,0.7228448323718282,2,5,0
Cc1cc(-c2nn[nH]n2)ccc1-c1nnc([C@@H]2CCO[C@@H]2C)o1,312.3330000000001,2.11752,0.7896793583287788,1,7,0
